,Document directory,Format,Comic_title,Untranslated Title,Source Title,Author,Translator,Author_origin,Author_country (current),Global region,Country,Language,Original Language (Translations),Publisher,Genre ,"Comic ""style""",Audience,Demographic,Publication Date,Pages#,Chapters Qty,Chapter/Issue#,Completed,Description,Website,CCL,Permission,File,Notes,Country again,Title again,Spacer,MAST Notes,Uploaded to MAST,1.1: Panels & Panels,1.2: Characters,1.2.1 Gender,1.3: Carriers,2.1: Framing,2.2: Continuity Annotations,2.2: Continuity Relations,2.3: Motion Events,2.4: ICS,2.5: Character Emotions,2.5.1 Panel Emotions,2.6 Panel Templates,2.7 Panel Borders,2.8 POV,2.9 Onoma,3.1 Situation,3.2 Depth,3.3 Gesture
CC/SL,,Comic Book,Kitchen World,Kitchen World (庖廚天下),,钧泽懿 （Jun Ze Yi),,China,China,East Asia,China,Madarin (simplified),Madarin (simplified),,Adventure,Manga,Teen,,2016,50,4,1-4,,,,,Private,Kitchen world Vol.1.PDF,,China,Kitchen World,2,,,,,,,,,,,,,,,,,,,,
CC/SL,,Comic Book,My Melody: Then,My Melody (我的旋律 後),少年漫画 （Youth Comics),陆明 （Lu Ming）,,China,China,East Asia,China,Madarin (simplified),Madarin (simplified),Sino Comic,Fantasy,Manga,Adult,,2001,59,1,2,,,,,Sharing,My melody.pdf,,China,My Melody: Then,2,,,,,,,,,,,,,,,,,,,,
AH/SL,,Comic book,Pickup,拾音器,,郭豪杰 (Guo Hao Jie),,China,China,East Asia,China,Mandarin (simplified),Mandarin (simplified),Hero.G Studio,Horror,Manga,Adult,,2016,61,5,1,,,,,,拾音器2016.5.28.pdf,,China,Pickup,2,,,,,,,,,,,,,,,,,,,,
AH/SL,,Comic book,Under One Person,一人之下,,米二 （Mi Er),,China,China,East Asia,China,Mandarin (simplified),Mandarin (simplified),浙江人民美术出版社,Action,Manga,Everyone,,2016,78,7,1,,,,,,Under one person.pdf,,China,Under One Person,2,,,,,,,,,,,,,,,,,,,,
CC/SL,,Comic Book,LAUNCS,LAUNCS/青云直上,,丁三郎/童川森 （Ding Sanlang / Tong Chuansen）,,China,China,East Asia,China,Madarin (simplified),Madarin (simplified),,Fantasy,Manga,Teen,,2016,86,1,1,,,,,Private,LAUNCS.pdf,,China,LAUNCS,2,,,,,,,,,,,,,,,,,,,,
AH/SL,,Comic book,Fox,一品芝麻狐,,王溥 （Wang Pu),,China,China,East Asia,China,Mandarin (simplified),Mandarin (simplified),中國友誼出版社,Fantasy,Cartoony,Everyone,,2016,87,2,1,,,,,,Fox.pdf,,China,Fox,2,,,,,,,,,,,,,,,,,,,,
AH/SL,,Comic book,Mountain Ghost,山鬼,,周华龙 (Zhou Hua Long),,China,China,East Asia,China,Mandarin (simplified),Mandarin (simplified),,horror,Cartoony,Everyone,,,88,1,1,,,,,,Mountain ghost.pdf,,China,Mountain Ghost,2,,,,,,,,,,,,,,,,,,,,
CC/SL,,Comic Book,Scavengers,Ms Ma (老馬),,韩祖政 （Han Zuzheng）,,China,China,East Asia,China,Madarin (simplified),Madarin (simplified),,School Life,Manga,Teen,,2016,93,1,1,,,,,Private,Ms.Ma.pdf,,China,Scavengers,2,,,,,,,,,,,,,,,,,,,,
AH/SL,,Comic book,Lo Lan,楼兰,,,,China,China,East Asia,China,Mandarin (simplified),Mandarin (simplified),,Fantasy,Cartoony,Everyone,,,112,1,1,,,,,,楼兰.PDF,,China,Lo Lan,2,,,,,,,,,,,,,,,,,,,,
AH/SL,,Comic book,Clair de lune,九日谈,,呷饱（Ga Bao),,China,China,East Asia,China,Mandarin (simplified),Mandarin (simplified),personal account/森雨漫,Drama,Cartoony,Everyone,,2017,114,1,1,,,,,,九日谈.pdf,,China,Clair de lune,2,,,,,,,,,,,,,,,,,,,,
CC/SL,,Comic Book,My Beijing: Four Stories of Everyday Wonder,老街的童话,,聂峻（Nie Jun）,,China,China,East Asia,China,English,Madarin (simplified),Graphic Universe,Children,Cartoony,Everyone,,2018,128,4,1-4,,,,,Private,My Beijing_3PGS_author.pdf,,China,My Beijing: Four Stories of Everyday Wonder,2,,,,,,,,,,,,,,,,,,,,
CC/SL,,Comic Book,If I can turn,If I can turn (不如⋯⋯重新开始),,刘玮 （Liu Wei）,,China,China,East Asia,China,Madarin (simplified),Madarin (simplified),Post Wave Publishing Consulting Co Ltd,Romance,Manga,Teen,,2016,136,1,1,,,,,Private,If I can turn.pdf,,China,If I can turn,2,,,,,,,,,,,,,,,,,,,,
AH/SL,,Comic book,23 Seconds Outside The World,23秒外,,"苏小五，芥末 Manga, Story",,China,China,East Asia,China,Mandarin (simplified),Mandarin (simplified),黑龍江美術出版社 （Heilongjiang Fine Art Press),Fantasy,Cartoony,Everyone,,2018,145,1,1,,,,,,23 seconds.pdf,,China,23 Seconds Outside The World,2,,,,,,,,,,,,,,,,,,,,
AH/SL,,Comic book,Cool worm school ,爱吃猪屎豆的星灯蛾,,"吴详敏，夏吉安， 庄建宇 (Wu Xiang Min, Xia Ji An, Zhuang Jian Yu)",,China,China,East Asia,China,Mandarin (simplified),Mandarin (simplified),接力出版社,Childrens,Cartoony,Children,,2015,160,8,12,,,,,,Cool worm school Vol.12.pdf,,China,Cool worm school ,2,,,,,,,,,,,,,,,,,,,,
AH/SL,,Comic book,Saying Cat,话猫,,瓜幾拉 (Gua Ji La),,China,China,East Asia,China,Mandarin (simplified),Mandarin (simplified),湖南美術出版社,Fantasy,Cartoony,Everyone,,2014,192,10,1,,,,,,Saying cat.pdf,,China,Saying Cat,2,,,,,,,,,,,,,,,,,,,,
CC/SL,,Comic Book,"That Moment, Maybe",也许，那一瞬间,,口袋巧克力 （Pocket）,,China,China,East Asia,China,Madarin (simplified),Madarin (simplified),中国致公出版社,Romance,Cartoony,Everyone,,2013,201,3,1.7.2,,,,,Private,也许那一瞬间.PDF,,China,"That Moment, Maybe",2,,,,,,,,,,,,,,,,,,,,
AH/SL,,Comic magazine,Black Blood,黑血,少年漫畫 （Youth Comics),赵佳 (Zhao jia),,China,China,East Asia,China,Mandarin (simplified),Mandarin (simplified),中国连环画出版社,Action,Manga,Teen,,1997,256,7,1,,,,,,Zhao Jia-《Black Blood》Vol.1.pdf,,China,Black Blood,2,,,,,,,,,,,,,,,,,,,,
CC/SL,,Comic Book,"Au Loin, Une Montage",Far Mountain (遠山),,聂崇瑞 （Nie Chongrui）,,China,China,East Asia,China,French,Madarin (simplified),Éditions Steinkis,Historic,Manga,Adult,,2019,264,1,1,,,,,Sharing,Nie Chongrui-Far mountain.pdf,,China,"Au Loin, Une Montage",2,,,,,,,,,,,,,,,,,,,,
AH/SL,,Comic book,Waiting for Lights,等光来,,"野子，源华，八百万的肾，结渴，逄勃 Amour, Isalon, SHEN, Auverblue, Bo Pang",,China,China,East Asia,China,Mandarin (simplified),Mandarin (simplified),,Drama,Cartoony,Adult,,,268,1,1,,,,,,05-Waiting for the light.pdf,,China,Waiting for Lights,2,,,,,,,,,,,,,,,,,,,,
AH/SL,,Comic book,Crusades,十字军/铁血骑士,,张晓雨(Zhang Xiao Yu),,China,China,East Asia,China,Mandarin (simplified),Mandarin (simplified),,History,Manga,Everyone,,2016,275,3,1,,,,,,The writer is French.pdf,,China,Crusades,2,,,,,,,,,,,,,,,,,,,,
AH/SL,,Comic book,J'ai grandi au jour de la separation (I grew up on the day we broke up),分手那天，我一夜長大,,PP殿下 (PP Highness/PP dian xia),,China,China,East Asia,China,Mandarin (simplified),Mandarin (simplified),四川文藝出版社,Romantic,Cartoony,Teen,,2015,312,9,1,,,,,,J'ai grandi au jour de la separation.pdf,,China,J'ai grandi au jour de la separation (I grew up on the day we broke up),2,,,,,,,,,,,,,,,,,,,,
CC/SL,,Comic Book,Sword of the Yue Maiden,Yue Nu Jian (越女劍),,"Written by 金庸（Jin Yong）, Drawn by 林莹 （Lin Ying）",,China,China,East Asia,China,Madarin (simplified),Madarin (simplified),,Historic,Manga,Everyone,,,554,1,1,,,,,Private,Sword of the Yue Maiden-Intro.pdf,,China,Sword of the Yue Maiden,2,,,,,,,,,,,,,,,,,,,,
CC/SL,,Comic Book,Hello Vivian,"Hello Vivian (你好,薇薇安)",,高佬 （Golo ）,,China,China,East Asia,China,Madarin (simplified),Madarin (simplified),Changjiang Press,Romance,Ligne claire,Teen,,2015,1-19,7,1-3,,,,,Sharing,Hello+Vivian.PDF,,China,Hello Vivian,2,,,,,,,,,,,,,,,,,,,,
AH/SL,,Comic book,Ligne 104,Ligne 104,Chroniques de Pékin,宋洋（Song Yang）,,China,China,East Asia,China,French,,小潘 Xiao Pan,Drama,Cartoony,Everyone,,2008,125-139,1,1,,,,,Sharing,Pekin_9.pdf,Maybe Incomplete?,China,Ligne 104,2,,,,,,,,,,,,,,,,,,,,
AH/SL,,Comic book,Elephant,Elephant,Chroniques de Pékin,王浣（Wang Huan）,,China,China,East Asia,China,French,,小潘 Xiao Pan,Drama,Cartoony,Everyone,,2008,141-154,1,1,,,,,Sharing,Pekin_10.pdf,,China,Elephant,2,,,,,,,,,,,,,,,,,,,,
AH/SL,,Comic book,Continuation of Love,爱的延续,一个人的世界（One Person's World）,徐子然 (Xu Zi Ran),,China,China,East Asia,China,Mandarin (simplified),Mandarin (simplified),北京全景文化传播有限责任公司,Folktale,Cartoony,Everyone,,2020,,1,1,,,,,Sharing,一个人的世界.pdf,,China,Continuation of Love,2,,,,,,,,,,,,,,,,,,,,
AH/SL,,Comic book,Ne Zha,哪吒,,Zong Shuai,,China,China,East Asia,China,Mandarin (simplified)/English,Mandarin (simplified),,,Cartoony,Children,,,,,,,,,,,Zong Shuai-illustration.PDF,maybe not a comic,China,Ne Zha,2,,,,,,,,,,,,,,,,,,,,
AH/SL,,Comic book,Portfolio Gens De Pekin,Portfolio Gens De Pekin,Chroniques de Pékin,Song Yang,,China,China,East Asia,China,French,,小潘 Xiao Pan,Drama,Cartoony,Everyone,,2008,,1,1,,,,,Sharing,Pekin.pdf,maybe not a comic,China,Portfolio Gens De Pekin,2,,,,,,,,,,,,,,,,,,,,
AH/SL,,Comic book,The Last Wish,最后一个愿望,一个人的世界（One Person's World）,秦畅 (Qin Chang),,China,China,East Asia,China,Mandarin (simplified),Mandarin (simplified),北京全景文化传播有限责任公司,Folktale,Cartoony,Everyone,,2020,,1,1,,,,,Sharing,一个人的世界.pdf,,China,The Last Wish,2,,,,,,,,,,,,,,,,,,,,
AH/SL,,Comic book,The story of MoMo ,MoMo的故事,一个人的世界（One Person's World）,吴瑶 （Wu Yao),,China,China,East Asia,China,Mandarin (simplified),Mandarin (simplified),北京全景文化传播有限责任公司,Folktale,Cartoony,Everyone,,2020,,1,1,,,,,Sharing,一个人的世界.pdf,,China,The story of MoMo ,2,,,,,,,,,,,,,,,,,,,,
AH/SL,,Comic book,Waiting,等待,一个人的世界（One Person's World）,倪少儒 (Ni Shao Ru),,China,China,East Asia,China,Mandarin (simplified),Mandarin (simplified),北京全景文化传播有限责任公司,Folktale,Cartoony,Everyone,,2020,,1,1,,,,,Sharing,一个人的世界.pdf,,China,Waiting,2,,,,,,,,,,,,,,,,,,,,
AH/SL,,Comic book,,,,王可伟 （Wang Ke Wei),,China,China,East Asia,China,Mandarin (simplified),Mandarin (simplified),,,Manga,Everyone,,,,,,,,,,,,May not be used,China,,2,,,,,,,,,,,,,,,,,,,,
CC/SL,,,,,, 顾炳鑫 （Gu Bingxin）,,China,China,East Asia,China,,,,,,,,,,,,,,,,Private,,Maybe not a comic,China,,2,,,,,,,,,,,,,,,,,,,,
CC/SL,,,,,,贺友直 （He Youzhi）,,China,China,East Asia,China,,,,,,,,,,,,,,,,Private,,Maybe not a comic,China,,2,,,,,,,,,,,,,,,,,,,,
CC/SL,,,,,,李志武 （Li Zhiwu） ,,China,China,East Asia,China,,,,,,,,,,,,,,,,Private,,Maybe not a comic,China,,2,,,,,,,,,,,,,,,,,,,,
CC/SL,,,,,,庞邦本 （Pang Bangben）,,China,China,East Asia,China,,,,,,,,,,,,,,,,Sharing,,Maybe not a comic,China,,2,,,,,,,,,,,,,,,,,,,,
YS,,,Dos Aldos,Two Aldos,,Pablo Guerra,,Colombia,,South-America,Colombia,Spanish,,Laguna Libros,,,,,2020,9,,,no,,https://www.Manga-award.mofa.go.jp/prize/index_11_2.html,,,,,Colombia,Dos Aldos,2,,,,,,,,,,,,,,,,,,,,
YS,,,Miseyieki,,,Shangomola Edunjobi,,England,,Europe,England,"English (what the website says, but the document is not in English)",,Self-published,,,,,,9,,,no,,https://www.Manga-award.mofa.go.jp/prize/index_12_2.html,,,,,Colombia,Miseyieki,2,,,,,,,,,,,,,,,,,,,,
DS,,Comic magazine,Luna: Reminiscencije,,YU strip #208/1,Krešimir Zimonić,,Yugoslavia,Croatia,Europe,Croatia,Croatian,,Dečje novine,Fantasy,Unorthodox,Adult,,1980,10,,Issue #5,,,,,,Ep. 5 - Reminiscencije.pdf,,Croatia,Luna: Reminiscencije,2,,,,,,,,,,,,,,,,,,,,
MT,,Anthology,United Kingdomleti brod,,Biser zla i druge priče,Andrija Maurović,,Yugoslavia,deceased,Europe,Croatia,Croatian,,Dečje novine,Adventure,Realistic,Teen/Adult,,1960-1961,12,,,,,,,,Biser zla i druge priče (1960-1961).pdf,,Croatia,United Kingdomleti brod,2,,,,,,,,,,,,,,,,,,,,
MT,,Anthology,Kišova zagonetka,,Biser zla i druge priče,Andrija Maurović,,Yugoslavia,deceased,Europe,Croatia,Croatian,,Dečje novine,Adventure,Realistic,Teen/Adult,,1960-1961,14,,,,,,,,Biser zla i druge priče (1960-1961).pdf,,Croatia,Kišova zagonetka,2,,,,,,,,,,,,,,,,,,,,
MT,,Anthology,Uglomi gospodar pećina,,Biser zla i druge priče,Andrija Maurović,,Yugoslavia,deceased,Europe,Croatia,Croatian,,Dečje novine,Adventure,Realistic,Teen/Adult,,1960-1961,18,,,,,,,,Biser zla i druge priče (1960-1961).pdf,,Croatia,Uglomi gospodar pećina,2,,,,,,,,,,,,,,,,,,,,
DS,,Webcomic,Moji Netovci,,,Niko Barun,,Croatia,Croatia,Europe,Croatia,Croatian,,"Hrvatski Telekom & Ministarstvo znanosti, obrazovanja i športa",Comedy,Cartoony,Teen,,2005,39,,,,,,,,Netovci (2005).pdf,,Croatia,Moji Netovci,2,,,,,,,,,,,,,,,,,,,,
MT,,Webcomic,Overkloking,,,Dubravko Mataković,,Croatia,Croatia,Europe,Croatia,Croatian,,,Comedy,Cartoony,Teen,,2001-2005,51,,,,,,,,Overkloking (2001-2005).pdf,,Croatia,Overkloking,2,,,,,,,,,,,,,,,,,,,,
NC,,Comic book,The Traveller,,,"Neil Gibson, Tasos  Anastasiades, Jan Wijn Gaard, Hassan Otsmane-Elhaou",,"United Kingdom, Cyprus",United Kingdom,Europe,Cyprus,English,,Tpub Comics,Steampunk,,Adult,,2020,17,1,1,,,https://www.tpub.co.United Kingdom/product/the-traveller/,,Private,,,Cyprus,The Traveller,2,,,,,,,,,,,,,,,,,,,,
NC,,Comic book,Daemonium Comics,,,"Marios Yiangou, Demetres Panayides",,Cyprus,Cyprus,Europe,Cyprus,English,,Arcanum Comics,"Action, Thriller",,Adult,,2020,52,2,2,,,,,Private,02 - DAEMONIUM BROKEN SPIRITS,,Cyprus,Daemonium Comics,2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Zamach (Part 2),Zamach (Part 2),Relax #3,"Karol Saudek, Jan Saudek",,Czechslovakia,Czech Republic,Europe,Czech Republic,Polish,Czech,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",History,,Adult,,1976,6,1,1,,,,,Private,03_Nr.02 - 1977.pdf,,Czech Republic,Zamach (Part 2),2,,,,,,,,,,,,,,,,,,,,
NC,,Comic book,Mbuze,,,"Peter Chizoba Daniel, Ovie Isaiah Negus, Nwankwor Newman, Michael Okorogha",,Democratic Republic of Congo,Democratic Republic of Congo,Africa,Democratic Republic of Congo,English,,Peda Comics,Action,Superhero,Everyone,,2019,14,1,1,,,,,Sharing,Mbuze_1.pdf,,Democratic Republic of Congo,Mbuze,2,,,,,,,,,,,,,,,,,,,,
IH,,Comic Magazine,Tok Tok,,,Various,,,,Africa,Egypt,Arabic,,,,,,,2017,35,,,,"The quarterly review contains graphic short stories and satirical comics. The stories published are mostly about love, joblessness, the attitudes of the elders and the authorities or the chaos of Cairo.",,,,,"Tok Tok was founded in 2011 by five young professional graphic artists, Shennawy, Makhlouf, Andeel, Hicham Rahmah and Tawfik.",Egypt,Tok Tok,2,,,,,,,,,,,,,,,,,,,,
BK,,Webcomic,Stand Still. Stay Silent,,,Minna Sundberg,,Sweden,Finland (most of life),Europe,Finland,English,English,Hiveworks Comics,"Fantasy, Post-apocalyptic",Cartoony,Teen,,2015,24,1,6,0,"It's been 90 years after the end of the old world. Most of the surviving population of the Known world live in Iceland, the largest safe area in existence, while the safe settlements in the other Nordic countries; Norway, Sweden, Denmark and Finland, are small and scarce. Countless mysterious and unspoken dangers lurk outside the safe areas, the Silent world, and hunters, mages and cleansers will spend their lives defending the settlements against the terrifying beings. Because of a great fear towards everything in the Silent world no official attempts to explore the ruins of the old have been made, and most of the information about it has turned into ancient lore, known by few. But now, at last, it is time to send out an research crew into the great unknown! A poorly funded and terribly unqualified crew, but a crew nonetheless.",,,Sharing,,,Finland,Stand Still. Stay Silent,2,,,,,,,,,,,,,,,,,,,,
YS,,,Onibi,,,Atelier SENTÔ,,France,,Europe,France,"French (what the website says, but the document is not in French)",,,,,,,2018,11,,,no,,https://www.Manga-award.mofa.go.jp/prize/index_11_2.html,,,,,France,Onibi,2,,,,,,,,,,,,,,,,,,,,
YS,,,Face cachée,,,Sylvain Runberg,,France,,Europe,France,French,,Futurpolis,,Manga,,,2010,12,,,no,,https://www.Manga-award.mofa.go.jp/prize/index_4_2.html,,,,,France,Face cachée,2,,,,,,,,,,,,,,,,,,,,
BK,,Webcomic,Go Get a Roomie!,,,Cloé C.,,France,Belgium,Europe,France,English,English,Hiveworks Comics,Slice of life,Cartoony,Mature,,2019,20,0.5,40,1,,,,,,,France,Go Get a Roomie!,2,,,,,,,,,,,,,,,,,,,,
SG,,Comic book,Der Morgenstern bekannt als Dorn,,,Ralf Paul,,Germany,,Europe,Germany,German,,Ideenschmiede Paul & Paul,Superhero,,,,2000,20,,,,,,,,,,Germany,Der Morgenstern bekannt als Dorn,2,,,,,,,,,,,,,,,,,,,,
SG,,Comic book,Die Parrots und der Stab der Toten,,,Kenneth Rohlf,,,,Europe,Germany,German,,,"Adventure, Fantasy",,,,2022,22,,,,,,,,,,Germany,Die Parrots und der Stab der Toten,2,,,,,,,,,,,,,,,,,,,,
SG,,Graphic novel,No Borders,,,TeMel (artist) & Michael Bark (writer),,,,Europe,Germany,German,,Epsilon Publishers,Science Fiction,,,,2016,24,,,,,,,,,,Germany,No Borders,2,,,,,,,,,,,,,,,,,,,,
SG,,Comic book,Ovum,,,Sorata08,,,,Europe,Germany,German,,,"Horror, Mystery",,,,2018,24,,Chapter 3,,,,,,,,Germany,Ovum,2,,,,,,,,,,,,,,,,,,,,
SG,,Comic book,When Worlds Collide,,,Sabu (artist) & Sabo (author),,,,Europe,Germany,German,,,"Mystery, Crime",,,,2013,24,,0/prologue,,,,,,,,Germany,When Worlds Collide,2,,,,,,,,,,,,,,,,,,,,
BK,,Webcomic,Inside Phobia,,,Zorika Gaeta (alias: Akiro Tea),,Germany,,Europe,Germany,English,English,Hiveworks Comics,"Thriller, Horror",Cartoony,YA,,2016,33,0.5,2,0,"It has been a perfectly normal day, after which Susan suddenly dissapears. She wakes up in a place where reality starts shifting between dream and memory, making it hard for Susan to find the exit. Not only is the child-eating monster on her tracks, making things harder, but also her own fears that start taking physical form in this place...",,,Sharing,,,Germany,Inside Phobia,2,,,,,,,,,,,,,,,,,,,,
NC,,Comic book,Ananse,,,Kiaski Donkor,,Ghana,United Kingdom,Africa,Ghana,English,,Project Ananse,Fantasy,,Everyone,,2020,7,1,2,,,,,Private,,,Ghana,Ananse,2,,,,,,,,,,,,,,,,,,,,
NC,,Comic book,Moon Girls,,,"Akosua Hanson, Suhaidatu Dramani, George Hanson, Tsiddi Can-Tamakloe, Newman Nwankwo",,Ghana,,Africa,Ghana,English,,Drama Queens,Superhero,Superhero,Adult,,2019,11,1,5,,,,,Private,Ch5 - All the World's A Stage.pdf,,Ghana,Moon Girls,2,,,,,,,,,,,,,,,,,,,,
NC,,Comic book,Moon Girls,,,"Akosua Hanson, Suhaidatu Dramani, George Hanson, Tsiddi Can-Tamakloe, Newman Nwankwo",,Ghana,,Africa,Ghana,English,,Drama Queens,Superhero,Superhero,Adult,,2019,15,1,4,,,,,Private,Ch4 - Down the Rabbit Hole.pdf,,Ghana,Moon Girls,2,,,,,,,,,,,,,,,,,,,,
NC,,Comic book,Moon Girls,,,"Akosua Hanson, Suhaidatu Dramani, George Hanson, Tsiddi Can-Tamakloe, Newman Nwankwo",,Ghana,,Africa,Ghana,English,,Drama Queens,Superhero,Superhero,Adult,,2019,17,1,2,,,,,Private,Ch2 - Lights Camera Action!.pdf,,Ghana,Moon Girls,2,,,,,,,,,,,,,,,,,,,,
NC,,Comic book,Moon Girls,,,"Akosua Hanson, Suhaidatu Dramani, George Hanson, Tsiddi Can-Tamakloe, Newman Nwankwo",,Ghana,,Africa,Ghana,English,,Drama Queens,Superhero,Superhero,Adult,,2019,17,1,7,,,,,Private,Ch7 - Change Your Style.pdf,,Ghana,Moon Girls,2,,,,,,,,,,,,,,,,,,,,
NC,,Comic book,Moon Girls,,,"Akosua Hanson, Suhaidatu Dramani, George Hanson, Tsiddi Can-Tamakloe, Newman Nwankwo",,Ghana,,Africa,Ghana,English,,Drama Queens,Superhero,Superhero,Adult,,2019,18,1,3,,,,,Private,Ch3 - Underwater Dreams.pdf,,Ghana,Moon Girls,2,,,,,,,,,,,,,,,,,,,,
NC,,Comic book,Moon Girls,,,"Akosua Hanson, Suhaidatu Dramani, George Hanson, Tsiddi Can-Tamakloe, Newman Nwankwo",,Ghana,,Africa,Ghana,English,,Drama Queens,Superhero,Superhero,Adult,,2019,18,1,8,,,,,Private,Ch8 -  KɔFIE.pdf,,Ghana,Moon Girls,2,,,,,,,,,,,,,,,,,,,,
NC,,Comic book,Moon Girls,,,"Akosua Hanson, Suhaidatu Dramani, George Hanson, Tsiddi Can-Tamakloe, Newman Nwankwo",,Ghana,,Africa,Ghana,English,,Drama Queens,Superhero,Superhero,Adult,,2019,26,1,6,,,,,Private,Ch6 - Ghostly Dilemmas.pdf,,Ghana,Moon Girls,2,,,,,,,,,,,,,,,,,,,,
NC,,Comic e-book,Hemilios,,,Nicolas Stefadouros,PHOCUS,Greece,Greece,Europe,Greece,English,Greek,Roche Hellas,"Educational, Comedy",Cartoony,Teen/Adult,,2019-2021,,,1,,,https://abouthaemophilia.com/,,,,,Greece,Hemilios,2,,,,,,,,,,,,,,,,,,,,
NC,,Comic e-book,Hemilios,,,Nicolas Stefadouros,PHOCUS,Greece,Greece,Europe,Greece,English,Greek,Roche Hellas,"Educational, Comedy",Cartoony,Teen/Adult,,2019-2021,,,2,,,https://abouthaemophilia.com/,,,,,Greece,Hemilios,2,,,,,,,,,,,,,,,,,,,,
NC,,Comic e-book,Hemilios,,,Nicolas Stefadouros,PHOCUS,Greece,Greece,Europe,Greece,English,Greek,Roche Hellas,"Educational, Comedy",Cartoony,Teen/Adult,,2019-2021,,,3,,,https://abouthaemophilia.com/,,,,,Greece,Hemilios,2,,,,,,,,,,,,,,,,,,,,
NC,,Comic e-book,Hemilios,,,Nicolas Stefadouros,PHOCUS,Greece,Greece,Europe,Greece,English,Greek,Roche Hellas,"Educational, Comedy",Cartoony,Teen/Adult,,2019-2021,,,5,,,https://abouthaemophilia.com/,,,,,Greece,Hemilios,2,,,,,,,,,,,,,,,,,,,,
NC,,Comic e-book,Hemilios,,,Nicolas Stefadouros,PHOCUS,Greece,Greece,Europe,Greece,English,Greek,Roche Hellas,"Educational, Comedy",Cartoony,Teen/Adult,,2019-2021,,,6,,,https://abouthaemophilia.com/,,,,,Greece,Hemilios,2,,,,,,,,,,,,,,,,,,,,
NC,,Comic e-book,Hemilios,,,Nicolas Stefadouros,PHOCUS,Greece,Greece,Europe,Greece,English,Greek,Roche Hellas,"Educational, Comedy",Cartoony,Teen/Adult,,2019-2021,,,7,,,https://abouthaemophilia.com/,,,,,Greece,Hemilios,2,,,,,,,,,,,,,,,,,,,,
YS,,Comic ,,The Pork Chops Inferno,,Lai Tat Tat Wing,,Hong Kong,,Asia,Hong Kong,Catonese,,Self-published (the name of the author and publishing house is the same),,,,,2017,9,,,no,,https://www.Manga-award.mofa.go.jp/prize/index_12_2.html,,,,,Hong Kong,The Pork Chops Inferno,2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Kordzik (Part 1),Kordzik (Part 1),Relax #23,"Erno Zorad, Tibor Cs. Horvath",,Hungary,Hungary,Europe,Hungary,Polish,Hungarian,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""","History, Adventure",,Everyone,,1978,5,1,1,,,,,Private,23_Nr.10 - 1978.pdf,"Based on the book ""The Dirk"" by Anatoly Rybakov",Hungary,Kordzik (Part 1),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Lana w kosmosie (Part 1),Lana w kosmosie (Part 1),Relax #27,"Peter Kuczka, Tibor Cs. Horváth, Erno Zórád",Anna Makowska,Hungary,Hungary,Europe,Hungary,Polish,Hungarian,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",Science Fiction,,Everyone,,1980,5,1,1,,,,,Private,27_Nr.01 - 1980.pdf,"original title: ""Négy Békeszeretó Földlakó""",Hungary,Lana w kosmosie (Part 1),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Akcja Labirynt (Part 2),Akcja Labirynt (Part 2),Relax #7,"Erno Zorad, Tibor Cs. Horvath",Anna Makowska,Hungary,Hungary,Europe,Hungary,Polish,Hungarian,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",History,,Adult,,1977,6,1,1,,,,,Private,07_Nr.06 - 1977.pdf,,Hungary,Akcja Labirynt (Part 2),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Akcja Labirynt (Part 3),Akcja Labirynt (Part 3),Relax #8,"Erno Zorad, Tibor Cs. Horvath",Anna Makowska,Hungary,Hungary,Europe,Hungary,Polish,Hungarian,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",History,,Adult,,1977,6,1,1,,,,,Private,08_Nr.07 - 1977.pdf,,Hungary,Akcja Labirynt (Part 3),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Akcja Labirynt (Part 4),Akcja Labirynt (Part 4),Relax #9,"Erno Zorad, Tibor Cs. Horvath",Anna Makowska,Hungary,Hungary,Europe,Hungary,Polish,Hungarian,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",History,,Adult,,1977,6,1,1,,,,,Private,09_Nr.08 - 1977.pdf,,Hungary,Akcja Labirynt (Part 4),2,,,,,,,,,,,,,,,,,,,,
MS,,Comic magazine,Akcja Labirynt (Part 5),Akcja Labirynt (Part 5),Relax #10,"Erno Zorad, Tibor Cs. Horvath",Anna Makowska,Hungary,Hungary,Europe,Hungary,Polish,Hungarian,"Krajowa Agencja Wydawnicza RSW ""Prasa-Książka-Ruch""",History,,Adult,,1977,6,1,1,,,,,Private,10_Nr.09 - 1977.pdf,,Hungary,Akcja Labirynt (Part 5),2,,,,,,,,,,,,,,,,,,,,
